,0,1,"query","relations","target","primary","primary_rel","secondary_rel"
119,"Fingolimod is a selective antagonist for which molecule?","select ?item where {
  wd:Q425137 wdt:P129 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q11369 .
}","['wd:Q425137 wdt:P129 ?item', '?item (wdt:P31|wdt:P279)* wd:Q11369']","['wdt:P129', '(wdt:P31|wdt:P279)*']","wd:Q11369","wd:Q425137","wdt:P129","(wdt:P31|wdt:P279)*"
120,"Which gene is associated with the Kleefstra syndrome?","select ?item ?itemLabel
where {
  wd:Q4646476 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .  
  ?item skos:prefLabel ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q4646476 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q4646476","wdt:P2293","(wdt:P31|wdt:P279)*"
121,"Human dihydroorotate dehydrogenase is a drug target and is involved in what biosynthetic pathway","select ?item ?itemLabel
Where {
  wd:Q21135205 wdt:P682 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q14914008 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21135205 wdt:P682 ?item', '?item (wdt:P31|wdt:P279)* wd:Q14914008']","['wdt:P682', '(wdt:P31|wdt:P279)*']","wd:Q14914008","wd:Q21135205","wdt:P682","(wdt:P31|wdt:P279)*"
122,"Which gene is associated with Woodhouse Sakati syndrome?","select ?item ?itemLabel
Where {
  wd:Q8032762 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q8032762 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q8032762","wdt:P2293","(wdt:P31|wdt:P279)*"
123,"With which complexes is the protein SUS1 associated?","select distinct ?item where {
  ?item (wdt:P31|wdt:P279)* wd:Q22325163 .
  ?item wdt:P527 wd:Q27549490 .
}
","['?item (wdt:P31|wdt:P279)* wd:Q22325163', '?item wdt:P527 wd:Q27549490']","['(wdt:P31|wdt:P279)*', 'wdt:P527']","wd:Q22325163","wd:Q27549490","wdt:P527","(wdt:P31|wdt:P279)*"
124,"Which medication are included in the Polycap trial?","select distinct ?item where {
  wd:Q61924824 wdt:P4844 ?item  .
  ?item (wdt:P31|wdt:P279)* wd:Q12140 . 
}","['wd:Q61924824 wdt:P4844 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12140']","['wdt:P4844', '(wdt:P31|wdt:P279)*']","wd:Q12140","wd:Q61924824","wdt:P4844","(wdt:P31|wdt:P279)*"
125,"Which disorders are caused by de novo mutations in ZSWIM6?","select distinct ?item where {
  ?item wdt:P2293 wd:Q18044428  .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 . 
}","['?item wdt:P2293 wd:Q18044428', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q18044428","wdt:P2293","(wdt:P31|wdt:P279)*"
126,"Dinutuximab is used for treatment of which disease?","select ?item ?itemLabel
Where {
  wd:Q21011236 wdt:P2175 ?item .
   ?item (wdt:P31|wdt:P279)* wd:Q12136 .
 ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21011236 wdt:P2175 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2175', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q21011236","wdt:P2175","(wdt:P31|wdt:P279)*"
127,"Mutation of which gene is implicated in the Brain-lung-thyroid syndrome?","select ?item ?itemLabel
where {
  wd:Q55783782 wdt:P2293 ?item .
 ?item (wdt:P31|wdt:P279)* wd:Q7187 .
 ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q55783782 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q55783782","wdt:P2293","(wdt:P31|wdt:P279)*"
128,"Which disease is associated with Synaptosome Associated Protein 25 (snap25).","select distinct ?item where {
  wd:Q14897641 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['wd:Q14897641 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q14897641","wdt:P2293","(wdt:P31|wdt:P279)*"
129,"Selexipag is used for which disease?","select ?item ?itemLabel
Where {
  wd:Q15424759 wdt:P2175 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q15424759 wdt:P2175 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2175', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q15424759","wdt:P2175","(wdt:P31|wdt:P279)*"
130,"Which genes are involved in Duchenne Muscular Dystrophy?","select ?item where {
  wd:Q1648484 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
}
","['wd:Q1648484 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q1648484","wdt:P2293","(wdt:P31|wdt:P279)*"
131,"What gene is mutated in Huntingtons disease?","select ?item ?itemLabel
Where {
  wd:Q190564 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q190564 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q190564","wdt:P2293","(wdt:P31|wdt:P279)*"
132,"Which gene is mutated in the classic Bartters syndrome?","select ?item ?itemLabel
Where {
  wd:Q27674849 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q27674849 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q27674849","wdt:P2293","(wdt:P31|wdt:P279)*"
133,"Which gene cause the Marfan syndrome?","select ?item ?itemLabel
Where {
  wd:Q208562 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q208562 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q208562","wdt:P2293","(wdt:P31|wdt:P279)*"
134,"Which disease is associated with DNAJB1-PRKACA fusion gene?","select ?item where {
  wd:Q29886178 wdt:P3356 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['wd:Q29886178 wdt:P3356 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P3356', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q29886178","wdt:P3356","(wdt:P31|wdt:P279)*"
135,"What fruit causes Jamaican vomiting sickness?","select ?item ?itemLabel
Where {
  wd:Q784988 wdt:P828 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q3314483 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q784988 wdt:P828 ?item', '?item (wdt:P31|wdt:P279)* wd:Q3314483']","['wdt:P828', '(wdt:P31|wdt:P279)*']","wd:Q3314483","wd:Q784988","wdt:P828","(wdt:P31|wdt:P279)*"
